,language,train_entropy,dev_entropy
0,Danish,1.8143370951027573,1.9446601748556727
1,German,1.707550122595155,1.8154230598816536
2,English,1.8303273688083435,1.9814778794118009
3,Spanish,1.7691782861961254,1.8289388161636824
4,Estonian,1.7178566560285162,1.8056419168339861
5,Basque,1.721960455422531,1.7798688710942088
6,French,1.9406281546475823,2.0581814598051835
7,Japanese,0.6505882360964498,0.6596761793226041
8,Polish,1.8087789161126342,1.9148077872430036
9,Portuguese,1.7383885880271583,1.8355213720207637
10,Serbian,1.8414728506759659,1.9472524983174033
11,Turkish,1.5928982300993035,1.690922622486972
